image_name,tags
train_21983,partly_cloudy primary
train_9516,clear cultivation primary water
train_12664,haze primary
train_36960,clear primary
train_5302,haze primary road
train_13350,clear primary
train_19547,agriculture clear primary road
train_31388,partly_cloudy primary
train_32079,partly_cloudy primary
train_9399,agriculture clear primary
train_24170,clear primary
train_2157,clear cultivation primary
train_38184,haze primary water
train_16416,partly_cloudy primary
train_38243,clear primary
train_7488,clear primary
train_9885,clear cultivation primary
train_28549,partly_cloudy primary
train_30914,agriculture cultivation partly_cloudy primary road
train_39138,clear primary
train_94,agriculture clear habitation primary road
train_65,clear primary
train_31457,clear primary
train_6854,agriculture clear habitation primary road
train_9670,habitation haze primary road
train_1491,clear primary
train_15476,clear primary water
train_39002,agriculture haze primary
train_31126,clear primary
train_25965,haze primary
train_19763,clear primary
train_32647,clear primary
train_37511,blooming clear primary
train_16065,clear primary
train_28053,clear primary
train_32877,clear primary water
train_3321,haze primary
train_2305,agriculture clear habitation primary road water
train_7123,clear primary
train_21238,clear water
train_38901,agriculture bare_ground clear primary
train_129,agriculture clear primary
train_28448,agriculture clear primary road
train_20341,partly_cloudy primary
train_10241,clear primary
train_30668,agriculture clear habitation primary road
train_3566,bare_ground clear road
train_18726,clear primary road
train_22647,clear primary
train_678,agriculture partly_cloudy primary road
train_9320,clear primary
train_11177,clear primary
train_13150,clear primary water
train_39439,clear primary
train_34831,cloudy
train_27002,clear primary
train_32140,partly_cloudy primary
train_31124,agriculture clear primary road
train_20181,agriculture clear primary
train_12487,partly_cloudy primary
train_29263,haze primary
train_8915,partly_cloudy primary water
train_25397,agriculture clear habitation primary road water
train_33229,clear primary
train_26305,clear primary
train_23992,clear primary
train_7276,agriculture clear primary road
train_20669,cloudy
train_11890,agriculture clear cultivation habitation primary
train_32713,clear primary
train_12512,agriculture clear primary water
train_7407,haze primary
train_31536,clear primary water
train_3556,agriculture cultivation partly_cloudy primary water
train_3410,clear primary
train_38086,agriculture clear primary water
train_32374,partly_cloudy primary
train_36793,clear primary
train_6354,partly_cloudy primary
train_5161,partly_cloudy primary road water
train_21557,partly_cloudy primary
train_8458,cloudy
train_29471,agriculture partly_cloudy primary
train_22603,agriculture clear habitation primary road
train_33208,clear primary
train_7554,haze primary
train_35212,agriculture clear habitation primary road
train_32408,cloudy
train_33689,clear primary
train_10814,clear primary
train_24542,haze primary
train_1022,haze primary
train_8726,agriculture clear primary road water
train_24075,partly_cloudy primary
train_23642,blooming clear cultivation primary
train_21999,clear primary
train_14907,agriculture clear cultivation primary road
train_14405,partly_cloudy primary
train_12047,clear primary
train_21932,clear primary
train_21528,agriculture partly_cloudy primary road
train_30827,agriculture clear primary water
train_29484,clear primary
train_9427,clear habitation primary road water
train_25739,agriculture clear primary road
train_38511,blow_down clear primary road
train_29518,partly_cloudy primary
train_21147,partly_cloudy primary
train_95,clear primary
train_27855,clear primary
train_17692,clear primary
train_11532,clear primary
train_18956,partly_cloudy primary
train_9337,agriculture clear primary
train_13038,agriculture cultivation haze primary
train_1097,clear primary water
train_15713,agriculture clear primary water
train_14909,clear primary water
train_3047,clear cultivation primary
train_18309,agriculture clear cultivation primary road
train_16418,cloudy
train_31346,clear primary
train_8137,cultivation partly_cloudy primary
train_5354,clear primary
train_10042,clear primary
train_13160,agriculture clear primary road
train_19861,clear primary
train_18056,clear primary
train_25011,agriculture cultivation partly_cloudy primary road
train_29873,clear primary
train_9836,agriculture habitation partly_cloudy primary road
train_7793,clear cultivation primary
